"","country","group_2018","total_ranking"
"1","Germany","F",340
"2","Brazil","E",325
"3","France","C",250
"4","Argentina","D",225
"5","Spain","B",205
"6","England","G",165
"7","Mexico","F",150
"8","Portugal","B",120
"9","Uruguay","A",105
"10","Croatia","D",105
"11","Japan","H",105
"12","Denmark","C",90
"13","Nigeria","D",90
"14","Costa Rica","E",90
"15","Belgium","G",90
"16","Switzerland","E",75
"17","Australia","C",60
"18","Sweden","F",60
"19","Colombia","H",60
"20","Saudi Arabia","A",45
"21","Tunisia","G",45
"22","Senegal","H",45
"23","Russia","A",30
"24","Iran","B",30
"25","Poland","H",30
"26","Morocco","B",15
"27","Serbia","E",15
"28","Egypt","A",0
"29","Peru","C",0
"30","Iceland","D",0
"31","South Korea","F",0
"32","Panama","G",0
